Designator,MPN/Seed SKU,Qty,Price,Total
C6,GRM033R60J155ME14EA01,1,0.33,0.33
C1 C2 C7 C9 C11 C13 C15 C17 C19 C21 C23 C25 C27 C29 C31 C33 C35,CBR04C108B5GAC,17,0.056,0.952
C4,C1608X5R0J106K080AE,1,0.32,0.32
C5,885012106003,1,0.1,0.1
C3 C8 C10 C12 C14 C16 C18 C20 C22 C24 C26 C28 C30 C32 C34 C36,C1005X5R0J475K050BC,16,0.35,5.6
D1,SMLP13BC8TT86,1,0.4,0.4
J2,BF090-10-X-B2,1,0.5,0.5
J1,BF090-10-X-B2,1,0.5,0.5
R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17,RT0402BRC0710KL,16,0.349,5.584
R18,RCS040220R0FKED,1,0.11,0.11
R1,CRCW04022K00JNEDC,1,0.1,0.1
U4,AMG8833,1,22.16,22.16
U1,DS28E05R+T ,1,0.88,0.88
U2,"PCA9555BS,118",1,2.14,2.14
U3 U5 U6 U7 U8 U9 U10 U11 U12 U13 U14 U15 U16 U17 U18 U19,VL53L1CXV0FY/1,16,5.81,92.96
,,,,132.636
