Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C_Small,C1 C2,100n,C_0402,2,
2,Unpolarized capacitor,C_Small,C3,4.7u,C_0402,1,
3,"LED generic, alternativ symbol",LED_ALT,D1,POWER_LED,LED_0402,1,
5,"Generic connector, single row, 01x10",Conn_01x10,J2,LEFT,BF090-10-X-B2,1,
6,"Generic connector, single row, 01x10",Conn_01x10,J1,RIGHT,BF090-10-X-B2,1,
19,Resistor,R,R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14,10k,R_0402,13,
20,Resistor,R,R1,2k,R_0402,1,
21,,DS28E05,U1,DS28E05,SOT-23,1,
22,,PCA9555,U2,PCA9555,QFN-24_4x4mm_Pitch0.5mm,1,
23,,VL53L1X,U3,VL53L1X,VL53L1X,1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Component Groups:,23,,,,,,
Component Count:,36,,,,,,
Fitted Components:,36,,,,,,
Number of PCBs:,1,,,,,,
Total components:,36,,,,,,
Schematic Version:,1.2,,,,,,
