Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C_Small,C3,1.5u,C_0603,1,
2,Unpolarized capacitor,C_Small,C1,10u,C_0603,1,
3,Unpolarized capacitor,C_Small,C2,1u,C_0603,1,
7,Resistor,R,R1 R2 R3,10k,R_0402,3,
8,Resistor,R,R4,20R,R_0402,1,
9,Camera module,AMG8833,U1,AMG8833,AMG8833,1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Component Groups:,9,,,,,,
Component Count:,11,,,,,,
Fitted Components:,11,,,,,,
Number of PCBs:,1,,,,,,
Total components:,11,,,,,,
