Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C_Small,C6,1.5u,C_0603,1,
2,Unpolarized capacitor,C_Small,C1 C2 C7 C9 C11 C13 C15 C17 C19 C21 C23 C25 C27 C29 C31 C33 C35,100n,C_0402,17,
3,Unpolarized capacitor,C_Small,C4,10u,C_0603,1,
4,Unpolarized capacitor,C_Small,C5,1u,C_0603,1,
5,Unpolarized capacitor,C_Small,C3 C8 C10 C12 C14 C16 C18 C20 C22 C24 C26 C28 C30 C32 C34 C36,4.7u,C_0402,16,
6,"LED generic, alternativ symbol",LED_ALT,D1,POWER_LED,LED_0402,1,
7,"Generic connector, single row, 01x10",Conn_01x10,J2,LEFT,BF090-10-X-B2,1,
8,"Generic connector, single row, 01x10",Conn_01x10,J1,RIGHT,BF090-10-X-B2,1,
9,Resistor,R,R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17,10k,R_0402,16,
10,Resistor,R,R18,20R,R_0402,1,
11,Resistor,R,R1,2k,R_0402,1,
12,,AMG8833,U4,AMG8833,AMG8833,1,
13,,DS28E05,U1,DS28E05,SOT-23,1,
14,,PCA9555,U2,PCA9555,QFN-24_4x4mm_Pitch0.5mm,1,
15,,VL53L1X,U3 U5 U6 U7 U8 U9 U10 U11 U12 U13 U14 U15 U16 U17 U18 U19,VL53L1X,VL53L1X,16,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Component Groups:,15,,,,,,
Component Count:,76,,,,,,
Fitted Components:,76,,,,,,
Number of PCBs:,1,,,,,,
Total components:,76,,,,,,
